"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTIPRE20UNK","PARTI192029","PARTI193039","PARTI194049","PARTI195059","PARTI196069","PARTI197079","PARTI198089","PARTI199099","PARTI200009","PARTI201019","PARTITOTAL"
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MINNESOTA",0,0,0,123,1,0,0,0,0,1,1,126
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",0,0,107,168,132,1,3,4,60,1,0,476
41089.4680092593,2010,20110079,10080,401,"HESS CORPORATION","CO2","INTRASTATE","NEW MEXICO",,,,,,,,,16,11.5,,27.5
41089.4680092593,2010,20110079,10080,401,"HESS CORPORATION","CO2","INTRASTATE","TEXAS",,,,,,,,4,,,,4
41089.4680092593,2010,20110373,10391,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","HVL","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,49,0,49
41089.4680092593,2010,20110110,10111,473,"ANADARKO PETROLEUM CORP","CO2","INTRASTATE","WYOMING",,,,,,,,,,155,,155
41089.4680092593,2010,20110135,10136,473,"ANADARKO PETROLEUM CORP","Crude Oil","INTRASTATE","WYOMING",,,,,,43,16,,,,,59
41089.4680092593,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","COLORADO",,,,,,,,,,0.3,,0.3
41089.4680092593,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","UTAH",,,,,,,,,,16.5,,16.5
41089.4680092593,2010,20110109,10142,473,"ANADARKO PETROLEUM CORP","HVL","INTRASTATE","WYOMING",,,,,,,,2,47,,,49
41089.4680092593,2010,20110445,10480,515,"DAKOTA GASIFICATION COMPANY","CO2","INTERSTATE","NORTH DAKOTA",,,,,,,,,165,2,,167
41089.4680092593,2010,20120044,11063,879,"CHEMOIL TERMINALS CORP.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",5.34,2.58,0,0,0,7.2,18.817,0,0.1,2.71,0,36.747
41089.4680092593,2010,20110050,11207,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","Crude Oil","INTERSTATE","ALABAMA",,,,,,,,,,1,,1
41089.4680092593,2010,20110050,11207,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","Crude Oil","INTERSTATE","LOUISIANA",,,,,,,,,,7,,7
41089.4680092593,2010,20110293,10303,999,"BREITBURN ENERGY CORP","Crude Oil","INTRASTATE","CALIFORNIA",,,,,,3.54,,,,,,3.54
41089.4680092593,2010,20110152,10154,1047,"HESS CORPORATION","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",,,,,,,23.49,,,,,23.49
41089.4680092593,2010,20110105,10106,1248,"BELLE FOURCHE PIPELINE CO","Crude Oil","INTERSTATE","MONTANA",0,0,0,0,0,0,66,0,0,0,0,66
41089.4680092593,2010,20110105,10106,1248,"BELLE FOURCHE PIPELINE CO","Crude Oil","INTERSTATE","NORTH DAKOTA",0,0,0,0,0,0,92,36,49,32,0,209
41089.4680092593,2010,20110105,10106,1248,"BELLE FOURCHE PIPELINE CO","Crude Oil","INTERSTATE","WYOMING",,,,,,187,15,10,,,,212
41089.4680092593,2010,20110113,10114,1248,"BELLE FOURCHE PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WYOMING",,,,,,49,,,26,,,75
41089.4680092593,2010,20110002,10002,1541,"BP PIPELINES (ALASKA), INC","Crude Oil","INTRASTATE","ALASKA",,0,0,0,0,0,0,0.41,43.285,25.041,33.488,102.224
41089.4680092593,2010,20110001,10001,1541,"BP PIPELINES (ALASKA), INC","HVL","INTRASTATE","ALASKA",,,,,,,,4.152,6.277,,0.102,10.531
41089.4680092593,2010,20110101,10102,1845,"BUCKEYE PARTNERS, LP","HVL","INTERSTATE","ILLINOIS",,,,,,,,,,,12.971,12.971
41089.4680092593,2010,20110101,10102,1845,"BUCKEYE PARTNERS, LP","HVL","INTERSTATE","INDIANA",,,,,,,0.616,,,,,0.616
41089.4680092593,2010,20110101,10102,1845,"BUCKEYE PARTNERS, LP","HVL","INTRASTATE","TEXAS",,,,,,,,22.841,,6.556,4.757,34.154
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","CALIFORNIA",,,,,,,,,,4.246,,4.246
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","CONNECTICUT",,,,,,69.58,8.839,0.771,3.119,2.594,0.002,84.905
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","FLORIDA",,,,,30.284,,0.368,2.025,0.653,1.047,,34.377
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ILLINOIS",0.465,1.9,251.66,0,524.041,383.953,42.542,8.089,15.304,3.79,,1231.744
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","INDIANA",25.989,0,11.42,172.284,68.451,464.179,9.324,1.416,12.837,3.97,,769.87
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MASSACHUSETTS",,,,,,19.888,,0.002,0.563,0.048,,20.501
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MICHIGAN",,,,,129.723,181.486,43.042,7.9,2.437,4.451,,369.039
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",,11.708,,,,,,1.401,1.358,2.974,,17.441
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEVADA",,,,,,,,,3.061,,,3.061
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",,,,,59.237,13.978,57.257,0.103,0.248,0.821,,131.644
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW YORK",,,,251.101,237.993,119.652,6.092,7.87,3.324,11.465,,637.497
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OHIO",11.53,,,211.717,79.427,510.196,260.21,28.984,3.317,0.906,,1106.287
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","PENNSYLVANIA",,,,109.573,618.061,207.188,37.542,2.634,10.53,177.756,,1163.284
41089.4680092593,2010,20110100,11005,1845,"BUCKEYE PARTNERS, LP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TENNESSEE",,,,,,,,,,10.709,,10.709
41089.4680092593,2010,20110163,10165,1960,"BUTTE PIPELINE CO","Crude Oil","INTERSTATE","MONTANA",,,,,124,,,,,,,124
41089.4680092593,2010,20110163,10165,1960,"BUTTE PIPELINE CO","Crude Oil","INTERSTATE","WYOMING",,,,,214,,,,,,,214
41089.4680092593,2010,20110115,10116,2162,"DOW PIPELINE CO - CAYUSE","HVL","INTERSTATE","LOUISIANA",,,,,,,166,,,,,166
41089.4680092593,2010,20110115,10116,2162,"DOW PIPELINE CO - CAYUSE","HVL","INTERSTATE","TEXAS",,,,,,,82,,,,,82
41089.4680092593,2010,20110264,10270,2170,"CENEX PIPELINE LLC","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MONTANA",,,,,45.53,57.3,23.1,2.7,40.4,101.9,24.87,295.8
41089.4680092593,2010,20110264,10270,2170,"CENEX PIPELINE LLC","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NORTH DAKOTA",,,,,,131,,,254.3,,,385.3
41089.4680092593,2010,20110311,10374,2190,"CENTRAL FLORIDA PIPELINE CORP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","FLORIDA",,,,,,5.53,84.75,1.66,113.04,0.59,,205.57
41089.4680092593,2010,20110028,10028,2339,"CHEVRON PRODUCTS COMPANY - HAWAII","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","HAWAII",,0,0,0,0,44.2,0,0,5.3,0,13.3,62.8
41089.4680092593,2010,20110223,10226,2371,"WESTERN REFINING SOUTHWEST, INC","Crude Oil","INTERSTATE","NEW MEXICO",,,,,,,76,,47,,24,147
41089.4680092593,2010,20110223,10226,2371,"WESTERN REFINING SOUTHWEST, INC","Crude Oil","INTRASTATE","NEW MEXICO",,,0,0,0,20,0,0,0,0,8,28
41089.4680092593,2010,20110224,10227,2371,"WESTERN REFINING SOUTHWEST, INC","HVL","INTRASTATE","NEW MEXICO",,,,,,12,,,,,,12
41089.4680092593,2010,20110423,10448,2387,"CITGO PIPELINE CO","Crude Oil","INTERSTATE","LOUISIANA",0,0,0,0,22,0,0,0,0,0,0,22
41089.4680092593,2010,20110423,10448,2387,"CITGO PIPELINE CO","Crude Oil","INTERSTATE","TEXAS",0,0,0,0.7,42,0,0,0,0,0,0,42.7
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ALABAMA",0.2,0,0,0,0,172.7,202.1,0,15.1,19.1,0,409.2
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","DELAWARE",0,0,0,0,0,4.2,0,0,0,0,0,4.2
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","GEORGIA",5.3,0,0,0,14.3,369.3,529.4,117.5,23.1,9.4,0,1068.3
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","LOUISIANA",0,0,0,0,0,217.3,245.9,0,15.3,0,0.4,478.9
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MARYLAND",12.5,0,17.3,0,0,203.4,0.2,68.4,0.9,0.5,0,303.2
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSISSIPPI",0,0,0,0,0,155.5,283.2,0,0.1,23.9,0,462.7
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",4.1,0,0,0,0,159.6,0,0.4,0,4.4,12.4,180.9
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW YORK",0,0,0,0,0,6.2,0,0,0,0.7,0,6.9
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NORTH CAROLINA",0,0,0,0,0,366.5,248.7,17.9,3.1,42.9,0.9,680
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","PENNSYLVANIA",1.1,0,0,0,0,36.7,0,0,0,0,0,37.8
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","SOUTH CAROLINA",0,0,0,0,0,175.8,145.4,0,32.8,9.5,0,363.5
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TENNESSEE",1.4,0,0,0,0,235.2,137.5,38.4,18.4,44,0.2,475.1
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TEXAS",0,0,0,0,0,119.4,109.6,0,10.3,0.1,0,239.4
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","VIRGINIA",3.1,0,0,0,0,501.5,262.8,7.3,2,7.2,0,783.9
41089.4680092593,2010,20110130,10131,2552,"COLONIAL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WASHINGTON DC",,,0.8,,,,,,,,,0.8
41089.4680092593,2010,20110239,10242,2564,"COLORADO INTERSTATE GAS CO","HVL","INTERSTATE","WYOMING",,,,,,6.642,,,,,,6.642
41089.4680092593,2010,20110254,10260,2564,"COLORADO INTERSTATE GAS CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WYOMING",,,,,,,,,3.321,,,3.321
41089.4680092593,2010,20120003,10707,2714,"DOMINION TRANSMISSION, INC","HVL","INTERSTATE","PENNSYLVANIA",,,,,,,,51.1,1,,,52.1
41089.4680092593,2010,20120003,10707,2714,"DOMINION TRANSMISSION, INC","HVL","INTERSTATE","WEST VIRGINIA",,,,,,6,12.13,6,,,,24.13
41089.4680092593,2010,20110122,10123,2731,"CHEVRON PIPE LINE CO","CO2","INTERSTATE","COLORADO",,,,,,,,11.1,,,,11.1
41089.4680092593,2010,20110122,10123,2731,"CHEVRON PIPE LINE CO","CO2","INTERSTATE","UTAH",,,,,,,,73.5,,,,73.5
41089.4680092593,2010,20110122,10123,2731,"CHEVRON PIPE LINE CO","CO2","INTERSTATE","WYOMING",,,,,,,,44.4,,,,44.4
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTERSTATE","COLORADO",,,,10.9,60.6,,,,,,,71.5
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTERSTATE","LOUISIANA",70.4,,,,22.8,217.3,116.3,71.2,21.1,11.6,,530.7
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTERSTATE","MISSISSIPPI",,,,,,66.3,17.8,,,,,84.1
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTERSTATE","TEXAS",1.6,,,,,,159.4,145.8,77.8,4.1,,388.7
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTERSTATE","UTAH",22.7,,,171.8,116.8,,,,,,,311.3
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTRASTATE","CALIFORNIA",300.1,5.1,1.5,194.2,0,68.1,16.3,0,10.3,7.3,0,602.9
41089.4680092593,2010,20110189,11085,2731,"CHEVRON PIPE LINE CO","Crude Oil","INTRASTATE","LOUISIANA",,,,,,,,,2,5.1,,7.1
41089.4680092593,2010,20110208,11001,2731,"CHEVRON PIPE LINE CO","HVL","INTERSTATE","NEW MEXICO",5.3,,,,0.4,44.7,42.3,0.3,14.2,,,107.2
41089.4680092593,2010,20110208,11001,2731,"CHEVRON PIPE LINE CO","HVL","INTERSTATE","TEXAS",224.2,0,,183.5,388.4,839.3,581.4,225.3,115.8,11.4,,2569.3
41089.4680092593,2010,20110208,11001,2731,"CHEVRON PIPE LINE CO","HVL","INTERSTATE","WASHINGTON",0.04,,,,,,,,,,,0.04
41089.4680092593,2010,20110208,11001,2731,"CHEVRON PIPE LINE CO","HVL","INTRASTATE","LOUISIANA",,,,,,112.3,18.4,,,,,130.7
41089.4680092593,2010,20110208,11001,2731,"CHEVRON PIPE LINE CO","HVL","INTRASTATE","TEXAS",44.6,4.4,,,179.1,196.5,143.6,120.6,65.8,40,,794.6
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IDAHO",,,,,599,55.8,5.6,,,,,660.4
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OREGON",,,,,250,,,,,,,250
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","UTAH",3.5,,,,107.9,6.9,,,,,,118.3
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WASHINGTON",,,,,176.9,,,,,,,176.9
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",49.3,,,25,44.8,129.5,47.2,,,,,295.8
41089.4680092593,2010,20110207,10209,2731,"CHEVRON PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,22.9,,,,,,,,22.9
41089.4680092593,2010,20110190,10192,2767,"COOK INLET PIPE LINE CO","Crude Oil","INTRASTATE","ALASKA",0,0,0,0,0,46.5,0,0,0,0,0,46.5
41089.4680092593,2010,20110054,10055,3156,"DAVIS GAS PROCESSING","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,,,,,30,,,,30
41089.4680092593,2010,20110339,10351,3345,"DEVON ENERGY PRODUCTION CO. LP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,,,,,,1,,,1
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","ALABAMA",0.192,0,0,0,0,250.417,0,0.187,0.314,2.046,0,253.156
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","GEORGIA",0,0,0,0,0,355.37,4.89,0.023,0.68,1.07,0.03,362.063
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","LOUISIANA",0,0,0,0,0,224.065,0.837,2.886,1.962,5.187,0,234.937
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","MISSISSIPPI",0,0,0,0,0,120.788,0,1.159,0.448,0.935,0,123.33
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","NORTH CAROLINA",0.113,0,0,0,0,72.9,0.662,12.485,2.556,0.741,0,89.457
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","SOUTH CAROLINA",0.007,0,0,0,0,161.709,0.836,0.317,0.711,0.445,0.016,164.041
41089.4680092593,2010,20110119,10120,3445,"DIXIE PIPELINE","HVL","INTERSTATE","TEXAS",0,0,0,0,0,75.095,0.12,0.126,0.92,2.821,0,79.082
41089.4680092593,2010,20110275,10283,3466,"DOME PETROLEUM LLC","HVL","INTERSTATE","MICHIGAN",0,0,0,0,0.3,0,78.7,0,0,0,0,79
41089.4680092593,2010,20110275,10283,3466,"DOME PETROLEUM LLC","HVL","INTERSTATE","OHIO",0,0,0,0,0,0,56.7,0,0,0,0,56.7
41089.4680092593,2010,20110117,10118,3527,"DOW PIPELINE CO","HVL","INTRASTATE","TEXAS",,,,121.8,13.6,58.8,75,0.8,4,0.5,,274.5
41089.4680092593,2010,20110095,10096,3535,"DOW PIPELINE CO","HVL","INTRASTATE","LOUISIANA",,,,,,103,44,57,,37,,241
41089.4680092593,2010,20110390,10409,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","Crude Oil","INTERSTATE","MISSISSIPPI",,,,,,,,8.47,,8.47,,16.94
41089.4680092593,2010,20110390,10409,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","Crude Oil","INTERSTATE","OKLAHOMA",,,,,2,,,,,,,2
41089.4680092593,2010,20110390,10409,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","Crude Oil","INTERSTATE","TENNESSEE",,,,,,,,,21.41,13.6,,35.01
41089.4680092593,2010,20110390,10409,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","Crude Oil","INTERSTATE","TEXAS",,,,,85.58,,,,,,0.88,86.46
41089.4680092593,2010,20110390,10409,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","Crude Oil","INTRASTATE","TEXAS",10.93,32.8,,21.89,,,5.18,,,,,70.8
41089.4680092593,2010,20110313,10324,4430,"VALERO TERMINALING AND DISTRIBUTION COMPANY","HVL","INTRASTATE","TEXAS",,,,,36.61,51.66,,4.12,,,,92.39
41089.4680092593,2010,20110315,10376,4472,"KINDER MORGAN ENERGY PARTNERS, L.P.","HVL","INTERSTATE","LOUISIANA",,,,,,,,27.15,,,,27.15
41089.4680092593,2010,20110315,10376,4472,"KINDER MORGAN ENERGY PARTNERS, L.P.","HVL","INTERSTATE","TEXAS",,,,,,,,77.19,,,,77.19
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ILLINOIS",,,,,,,259.89,,,1.27,,261.16
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","INDIANA",,,,,3.96,,34.71,,,1.67,,40.34
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","LOUISIANA",,,,,,,28.06,,,,,28.06
