"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTF1A","PARTF1B","PARTF1C","PARTF1D","PARTF1E","PARTF2A","PARTF2B","PARTF2C1","PARTF2C2","PARTF2C3","PARTF2CTOT","PARTF3A","PARTF3B","PARTF3C","PARTF3D","PARTF4A","PARTF4B","PARTF4C1","PARTF4C2","PARTF4C3","PARTF4CTOT","PARTF5A","PARTF5B","PARTF5C1","PARTF5C2","PARTF5C3","PARTF5CTOT","PARTF6A","PARTF6B","PARTF6C","PARTGMBA","PARTGMRC","PARTGTOTMILES"
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE",,652.68,618.2,0,0,1270.88,397,397,19,16,7,42,182.69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453.57,405,42,2.93,234.07,237
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","ALABAMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","CALIFORNIA",131.34,131.34,0,0,262.68,37,37,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.84,37,0,0,119.46,119.46
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","KANSAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","LOUISIANA",87.71,87.71,0,0,175.42,25,25,8,0,0,8,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.98,25,8,0,36.76,36.76
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MISSISSIPPI",14.73,14.73,0,0,29.46,17,17,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.78,17,0,0,21.03,21.03
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MONTANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NEW MEXICO",38.31,38.31,0,0,76.62,5,5,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,5,0,1.12,10.01,11.13
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NORTH DAKOTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-31-2012,2011,20120319,11492,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","OKLAHOMA",4.12,4.12,0,0,8.24,61,61,9,2,0,11,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54,61,11,0,17.99,17.99
