"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTF1A","PARTF1B","PARTF1C","PARTF1D","PARTF1E","PARTF2A","PARTF2B","PARTF2C1","PARTF2C2","PARTF2C3","PARTF2CTOT","PARTF3A","PARTF3B","PARTF3C","PARTF3D","PARTF4A","PARTF4B","PARTF4C1","PARTF4C2","PARTF4C3","PARTF4CTOT","PARTF5A","PARTF5B","PARTF5C1","PARTF5C2","PARTF5C3","PARTF5CTOT","PARTF6A","PARTF6B","PARTF6C","PARTGMBA","PARTGMRC","PARTGTOTMILES"
41089.4708333333,2010,20110331,10713,26085,"PLAINS MARKETING, L.P.","HVL","INTRASTATE","OKLAHOMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110331,10713,26085,"PLAINS MARKETING, L.P.","HVL","INTRASTATE","SOUTH CAROLINA",62.66,62.66,0,0,125.32,0,0,0,0,0,0,62.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.98,0,0,0,50.18,50.18
41089.4708333333,2010,20110332,10714,26085,"PLAINS MARKETING, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",3.78,3.78,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,0,3.76,3.76
41089.4708333333,2010,20110118,10119,26086,"SEADRIFT PIPELINE CORP","HVL","INTRASTATE","TEXAS",0,0,0,107.4,107.4,40,40,0,0,0,0,33.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.23,40,0,0,141.23,141.23
41089.4708333333,2010,20110175,10177,26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","Crude Oil","INTRASTATE","LOUISIANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110174,10176,26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","Fuel Grade Ethanol (dedicated system)","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110176,10178,26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE",,0,0,0,0,0,23,23,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0
41089.4708333333,2010,20110176,10178,26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW JERSEY",1.2,1.2,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,1.2,1.2
41089.4708333333,2010,20110176,10178,26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","VIRGINIA",7.1,0,0,0,7.1,5,5,3,1,0,4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,5,4,0,9.2,9.2
41089.4708333333,2010,20110005,10005,26099,"TAMPA BAY PIPELINE CO.","HVL","INTRASTATE","FLORIDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110097,10098,26103,"TEXAS EASTMAN DIVISION, EASTMAN CHEMICAL CO","HVL","INTRASTATE","TEXAS",0,184,33.5,0,217.5,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.5,15,0,0,3.67,3.67
41089.4708333333,2010,20110146,10465,26111,"UNITED REFINING CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW YORK",0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,3.7,0,0,0,0.93,0.93
41089.4708333333,2010,20110213,10215,26112,"VALERO REFINING-TEXAS L.P.","Crude Oil","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110215,10217,26112,"VALERO REFINING-TEXAS L.P.","HVL","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
